bug_id,title,type,project,clean_title
307731,Reopening a closed browser tab doesn't restore the URL,bug,VS Code,reopening closed browser tab doesnt restore url
307515,execution_subagent is broken: Invalid schema for function 'run_in_terminal': schema must have type 'object' and not have 'oneOf'/'anyOf'/'allOf'/'enum'/'not' at the top level,bug,VS Code,executionsubagent broken invalid schema function runinterminal schema must type object oneofanyofallofenumnot top level
307461,fix: guard BrowserViewDebugger.detach against destroyed WebContents (fixes #306923),bug,VS Code,fix guard browserviewdebuggerdetach destroyed webcontents fix
307408,"Clicking the ""restart to update"" button just closes VS Code Insiders",bug,VS Code,clicking restart update button close v code insider
307356,Agent mode .prompt.md fails with Sonnet 4.6 due to tool_search_tool_regex_20251119 tag rejection,bug,VS Code,agent mode promptmd fails sonnet due toolsearchtoolregex tag rejection
307355,Regression: Integrated Browser on macOS swallows Cmd+Left / Cmd+Right in editable inputs,bug,VS Code,regression integrated browser macos swallow cmdleft cmdright editable input
307283,Agents: Can't open on Windows,bug,VS Code,agent cant open window
307276,"""Allow all files in this repository"" is no op",bug,VS Code,allow file repository op
307227,Browser not visible in Agents App,bug,VS Code,browser visible agent app
307109,Build local Index isn't available >0.42.0,bug,VS Code,build local index isnt available
306991,Sessions: Opening a session in a new window clears it from the Sessions app,bug,VS Code,session opening session new window clear session app
306971,Discourage agents from opening new tabs when there are others to use,bug,VS Code,discourage agent opening new tab others use
306923,[Regression] target closed while handling command,bug,VS Code,regression target closed handling command
306906,"Sessions: When opening a workspace-isolated session, the artifacts panel shows all files",bug,VS Code,session opening workspaceisolated session artifact panel show file
306887,Sessions: The action button in the Artifacts panel appears to be hidden for many sessions,bug,VS Code,session action button artifact panel appears hidden many session
306883,Sessions: Stopping a session results in a session stuck in list,bug,VS Code,session stopping session result session stuck list
306845,Make sure semantic search is available even when there are no GitHub repos,bug,VS Code,make sure semantic search available even github repos
306810,nes: don't yield edits from diff-patch model if the fetch fails,bug,VS Code,ne dont yield edits diffpatch model fetch fails
306729,TypeError: mgt.clearMarks is not a function in Copilot Chat window,bug,VS Code,typeerror mgtclearmarks function copilot chat window
306652,Theme update notification redundant,bug,VS Code,theme update notification redundant
306552,Shortcuts double-emitting from Integrated Browser on Mac,bug,VS Code,shortcut doubleemitting integrated browser mac
306550,[Regression] Cannot read properties of null (reading '$ref'),bug,VS Code,regression cannot read property null reading ref
306531,command titles have random `\` in them,bug,VS Code,command title random
306530,"Sessions: After marking session as unread, it doesn't change back to read after clicking on it",bug,VS Code,session marking session unread doesnt change back read clicking
306528,Tab title rendered with extra ...,bug,VS Code,tab title rendered extra
306513,Sessions App: undefined branch name,bug,VS Code,session app undefined branch name
306471,Sessions App: Focus border on the new session button is cut off by the title bar,bug,VS Code,session app focus border new session button cut title bar
306448,Check for updates from settings gear triggers title bar UI,bug,VS Code,check update setting gear trigger title bar ui
306425,Sessions filtering not in sync with whats shown: show all vs recent,bug,VS Code,session filtering sync whats shown show v recent
306412,Browser tabs too long,bug,VS Code,browser tab long
306401,"""start over"" did not actually kill the previous request",bug,VS Code,start actually kill previous request
306384,Deleting Workspace-free sessions shows `Are you sure you want to archive 241 sessions from ''?`,bug,VS Code,deleting workspacefree session show sure want archive session
306269,"Built-in agent .agent.md files reference invalid tool 'github/issue_read', causing persistent ""Unknown tool"" warnings",bug,VS Code,builtin agent agentmd file reference invalid tool githubissueread causing persistent unknown tool warning
306250,"""Thinking effort"" broken rendering",bug,VS Code,thinking effort broken rendering
306249,xhigh reasoning effort is missing short description,bug,VS Code,xhigh reasoning effort missing short description
306213,"Show some icon (e.g., globe icon) for Open Web Pages in ""Go to File"" Quick Pick List",bug,VS Code,show icon eg globe icon open web page go file quick pick list
306212,"#tool: reference in prompt files is partially replaced, leaving trailing characters",bug,VS Code,tool reference prompt file partially replaced leaving trailing character
306143,Local History commands do not work when the resource uri is `vscode-local-history`,bug,VS Code,local history command work resource uri vscodelocalhistory
306138,Command center disappears when quickinput opens,bug,VS Code,command center disappears quickinput open
306091,It's possible to enter Copilot Autopilot (preview) mode - even if disabled by company policy,bug,VS Code,possible enter copilot autopilot preview mode even disabled company policy
306030,[json] Unnecessary log when request canceled,bug,VS Code,json unnecessary log request canceled
306029,Bash tool output not visible and no scroll bars,bug,VS Code,bash tool output visible scroll bar
306019,Skill reference loading shows external file dialog,bug,VS Code,skill reference loading show external file dialog
305956,"Getting an error that ""messages: text content block must contain non-whitespace text"" even though I'm sending a regular text instruction.",bug,VS Code,getting error message text content block must contain nonwhitespace text even though im sending regular text instruction
305887,"The information in ""wait for breakpoint"" cannot be saved",bug,VS Code,information wait breakpoint cannot saved
305866,Sessions App: Tips UI borders are broken,bug,VS Code,session app tip ui border broken
305815,Copilot CLI rendering breaks after the run completes,bug,VS Code,copilot cli rendering break run completes
305774,Claude harness should ignore `ANTHROPIC_API_KEY`,bug,VS Code,claude harness ignore anthropicapikey
305719,PR Review: Allow adding review comments on unchanged lines in a PR diff,bug,VS Code,pr review allow adding review comment unchanged line pr diff
305688,Sessions: approvals rendering glitch,bug,VS Code,session approval rendering glitch
305568,Sessions goes black on Reload,bug,VS Code,session go black reload
305542,Sessions: Starting new session doesn't update session list to show new session (but it does show in VSCODE),bug,VS Code,session starting new session doesnt update session list show new session show vscode
305366,Slash commands in chat input backspace deletes the full text,bug,VS Code,slash command chat input backspace deletes full text
305345,Sessions: Model choice changes when new session starts,bug,VS Code,session model choice change new session start
305321,Sessions: Can't open archived sessions (without unarchiving them),bug,VS Code,session cant open archived session without unarchiving
305263,Chat stuck trying to call a tool disabled by organisation,bug,VS Code,chat stuck trying call tool disabled organisation
305240,“Closing the window is taking a bit longer…” since upgrade to v1.113.0,bug,VS Code,closing window taking bit longer since upgrade v
305232,""" -- "" prevents run_in_terminal auto-approval",bug,VS Code,prevents runinterminal autoapproval
305217,Sessions App: Does not show Agents from Windows User location,bug,VS Code,session app show agent window user location
305169,NES: fix caching of first edit for patch-based models,bug,VS Code,ne fix caching first edit patchbased model
305094,Auto using 5.3-codex does not make edits,bug,VS Code,auto using codex make edits
305028,Ctrl + and ctrl - does not work on Copilot CLI in VS Code on Windows.,bug,VS Code,ctrl ctrl work copilot cli v code window
304945,[Unhandled Error] Uncaught TypeError: Cannot read properties of undefined (reading 'dimensions'),bug,VS Code,unhandled error uncaught typeerror cannot read property undefined reading dimension
304921,chats in new windows cannot open any pickers,bug,VS Code,chat new window cannot open picker
304894,Grunt tasks cannot be run,bug,VS Code,grunt task cannot run
304874,"""Copy"" on a chat conversation leaks the sandboxing script",bug,VS Code,copy chat conversation leak sandboxing script
304872,prompt files: only show problems for files open in editor,bug,VS Code,prompt file show problem file open editor
304806,Cmd+key shortcuts stop working in terminal editor after running a TUI application,bug,VS Code,cmdkey shortcut stop working terminal editor running tui application
304784,Update button on release notes covers content,bug,VS Code,update button release note cover content
304778,Problem view shows errors on missing tool names,bug,VS Code,problem view show error missing tool name
304774,Add New Chat entry point in the title bar menu,bug,VS Code,add new chat entry point title bar menu
304748,NES UI is used when one sets suggestion's URI to active document URI,bug,VS Code,ne ui used one set suggestion uri active document uri
304746,Chat pickers no longer work in floating windows,bug,VS Code,chat picker longer work floating window
304742,"Can't login to extension ""Power platform tools""",bug,VS Code,cant login extension power platform tool
304679,"[BUG] Caps Lock key inserts raw escape sequence ""[57358u"" in chat input (VS Code 1.112.0 / macOS)",bug,VS Code,bug cap lock key insert raw escape sequence u chat input v code macos
304648,execution_subagent is enabled for agents that should not be allowed to execute commands,bug,VS Code,executionsubagent enabled agent allowed execute command
304642,"Terminal hangs with infinite prompt loop when shell integration enabled + editor.accessibilitySupport: ""on"" (regression in 1.112.0)",bug,VS Code,terminal hang infinite prompt loop shell integration enabled editoraccessibilitysupport regression
304614,Default to the settings gear upgrade flow if nav bar is disabled,bug,VS Code,default setting gear upgrade flow nav bar disabled
304600,Ask in Chat from inline affordance drops context,bug,VS Code,ask chat inline affordance drop context
304574,Copilot CLI : MCP tools not honored in Custom Agents,bug,VS Code,copilot cli mcp tool honored custom agent
304544,Can't type in new welcome page,bug,VS Code,cant type new welcome page
304536,Sessions: Need input does not show input widget?,bug,VS Code,session need input show input widget
304525,"Cannot close ""no update available"" dialog with escape",bug,VS Code,cannot close update available dialog escape
304493,Browser: Editor ID Mismatch,bug,VS Code,browser editor id mismatch
304468,"Opus keeps summarizing previous conversation, but context is not filled!",bug,VS Code,opus keep summarizing previous conversation context filled
304390,Getting changes without any real changes,bug,VS Code,getting change without real change
304382,Manual check for updates should not shows the title bar UI,bug,VS Code,manual check update show title bar ui
304368,display issue &amp;&amp;,bug,VS Code,display issue ampamp
