bug_id,"product","component","assigned_to","bug_status","resolution","short_desc","changeddate"
5332,"JDT","UI","akiezun","RESOLVED","FIXED","NPE deleting classpath jar using packages view","2001-10-30 10:20:23"
6016,"JDT","UI","akiezun","RESOLVED","FIXED","NPE during resource delete in package viewer","2001-12-04 06:24:32"
6874,"JDT","UI","akiezun","RESOLVED","FIXED","Delete project works differently in packages view than Navigator","2001-12-14 06:17:00"
7255,"JDT","UI","akiezun","RESOLVED","FIXED","Rename of <Foo>Plugin.java crashes","2002-01-07 05:45:21"
7337,"JDT","UI","akiezun","RESOLVED","FIXED","NPE when pasting a member (that got deleted)","2002-01-15 06:02:26"
7590,"JDT","UI","akiezun","RESOLVED","FIXED","CCE: during move refactoring","2002-01-15 05:21:06"
7671,"JDT","UI","akiezun","RESOLVED","FIXED","move Cu: exception","2002-01-21 07:52:28"
7932,"JDT","UI","akiezun","RESOLVED","FIXED","Moving a class with checked Update references fails","2002-01-28 06:03:46"
8194,"JDT","UI","akiezun","RESOLVED","FIXED","Problems with the Externalize Dialog","2002-01-25 09:00:59"
9528,"JDT","UI","akiezun","RESOLVED","FIXED","CCE while coping a project to the clipboard","2002-02-14 04:51:01"
10182,"JDT","UI","akiezun","RESOLVED","FIXED","Illegal argument selecting in interface","2002-02-28 06:00:36"
10382,"JDT","UI","akiezun","RESOLVED","FIXED","Super type hierarchy computed on selection change in Outline","2002-02-28 08:40:13"
10470,"JDT","UI","akiezun","RESOLVED","FIXED","Delete/Reorg: Assertion failed during delete","2002-03-04 11:28:38"
11456,"JDT","UI","akiezun","RESOLVED","FIXED","fix the test suite","2002-03-15 10:12:32"
11622,"JDT","UI","akiezun","RESOLVED","FIXED","npe in extract temp (array return type)","2002-03-28 04:02:32"
12600,"JDT","UI","akiezun","RESOLVED","FIXED","StringIndexOutOfBoundsException in find externalize strings","2002-04-02 08:30:47"
12739,"JDT","UI","akiezun","RESOLVED","FIXED","Exception when cancelling rename of .java file","2002-04-04 03:36:25"
13189,"JDT","UI","akiezun","RESOLVED","FIXED","Refactoring - deleting fields - context menu is overriden by message dialog","2002-04-11 05:53:26"
13218,"JDT","UI","akiezun","RESOLVED","FIXED","pull up: missing '...' in the menu entry","2002-04-11 05:35:31"
13558,"JDT","UI","akiezun","RESOLVED","FIXED","move cu with ref update broken","2002-04-29 06:34:53"
14079,"JDT","UI","akiezun","RESOLVED","FIXED","Drag & Drop: Copy onto itself deletes type","2002-04-25 05:57:46"
14228,"JDT","UI","akiezun","RESOLVED","FIXED","Too easy to create duplicate methods","2002-04-25 11:11:33"
14465,"JDT","UI","akiezun","RESOLVED","FIXED","ClassCastException renaming build.xml file","2002-04-25 12:14:16"
15638,"JDT","UI","akiezun","RESOLVED","FIXED","Drag & Drop: Packages view doesn't update on move","2002-05-23 04:22:16"
31998,"JDT","UI","akiezun","RESOLVED","FIXED","we will have to disable renaming of linked packages (and cus)","2003-02-18 09:17:02"
32010,"JDT","UI","akiezun","RESOLVED","FIXED","renaming a java project wipes out linked sourcefolders","2003-02-17 10:37:22"
33266,"JDT","UI","akiezun","RESOLVED","FIXED","Internal Error (NPE) during Use Supertype Where Possible","2003-03-03 06:27:51"
33694,"JDT","UI","akiezun","RESOLVED","FIXED","closed projects should not be allowed as destination for move or copy","2003-03-04 10:31:39"
36520,"JDT","UI","akiezun","RESOLVED","FIXED","call hierarchy: default depth is 0","2003-04-16 05:07:38"
