bug_id,bug_type,short_desc,product,component,assigned_to,bug_status,resolution,changeddate
1477587,enhancement,Add a keyboard shortcut for deleting cookies and site data,Firefox,Keyboard Navigation,nobody,UNCONFIRMED, ---,2025-09-20 11:02:46
1920026,defect,"Tab list should be visible with layout.css.devPixelsPerPx set to ""2''",Firefox,Sidebar,nobody,NEW, ---,2024-09-20 02:53:39
1962702,defect,"Creating a new tab group ""New Group"" context menu item is not left align",Firefox,Tabbed Browser,nobody,NEW, ---,2025-04-25 07:46:38
428378,enhancement,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",Firefox,Sync,nobody,REOPENED, ---,2025-11-22 17:38:14
452376,defect,Input text element gets wrong keyup events,Firefox,General,nobody,REOPENED, ---,2026-02-18 01:22:10
1408108,enhancement,"Rename ""Sync ID"" to ""record ID"" in the bookmarks engine and `PlacesSyncUtils`",Firefox,Sync,1991manish.kumar,RESOLVED,FIXED,2017-11-07 03:01:07
1417698,enhancement,Use mozilla recommended eslint rules and remove rules duplicating those recommendations,Firefox,WebPayments UI,2042,RESOLVED,FIXED,2018-04-30 18:25:26
1471695,enhancement,Add installed add-ons targeting to AS Router,Firefox,Messaging System,a.hillier,RESOLVED,FIXED,2019-06-25 12:33:33
1476688,enhancement,Support block/cap by provider,Firefox,Messaging System,a.hillier,RESOLVED,FIXED,2019-06-25 12:33:36
1478218,defect,"Intermittent browser/extensions/activity-stream/test/functional/mochitest/browser_asrouter_targeting.js | should select correct item when filtering by lastVisitDate - Got undefined, expected [object Object]",Firefox,New Tab Page,a.hillier,RESOLVED,FIXED,2019-06-28 14:29:46
1482464,defect,Unpin stops working in Top Sites / TypeError: e.identifier is null,Firefox,New Tab Page,a.hillier,RESOLVED,FIXED,2019-06-28 14:29:46
1484030,enhancement,Chiclet animation for CFR,Firefox,Messaging System,a.hillier,RESOLVED,FIXED,2019-06-25 11:55:10
1443771,defect,Change Firefox about dialogue visual on ESR,Firefox,General,aalhazwani,RESOLVED,FIXED,2018-05-16 14:49:45
276934,defect,"After closing tab, Space doesn't scroll down one page",Firefox,Keyboard Navigation,aaronlev,RESOLVED,DUPLICATE,2006-03-12 18:14:38
280055,defect,Cannot walk into accessible tree for 2nd tab,Firefox,Disability Access,aaronlev,RESOLVED,FIXED,2019-05-03 14:53:25
1631439,enhancement,"Rewrite callers of document.createElementNS(XUL_NS, ...) to use document.createXULElement(...)",Firefox,General,aarushivij,RESOLVED,FIXED,2020-04-20 14:53:00
1354140,enhancement,[UX] Provide design spec for customize mode,Firefox,Toolbars and Customization,abenson,RESOLVED,FIXED,2017-04-25 05:16:01
1358167,enhancement,[UX] Provide detailed spec for sync widget at top of new (photon) hamburger panel,Firefox,Toolbars and Customization,abenson,RESOLVED,FIXED,2017-05-02 08:39:17
